Taxon	H_statistic	p_value	adjusted_p_value
Collinsella.aerofaciens	2.5300031378671406	0.1116999941598993	0.36860998072766765
Mycobacterium.avium	2.458595365518022	0.11688326330349602	0.37327235700148725
Moraxella.catarrhalis	2.2699269772257367	0.13190611731574117	0.40808455044557423
Schaalia.odontolytica	2.0794645286289324	0.14929254051666713	0.4478776215500014
Corynebacterium.accolens	2.033152739375339	0.15390106346622962	0.44812368479872744
Blautia.wexlerae	1.9420937483430976	0.16344137841456213	0.4521533658771399
Bradyrhizobium.sp.SK17	1.9331025856546376	0.16441940577350542	0.4521533658771399
Haemophilus.ducreyi	1.8531208739437943	0.17342085410418456	0.4640179609814668
Bradyrhizobium.quebecense	1.7151033975017071	0.19032456733135866	0.495845583310645
Mediterraneibacter.gnavus	1.6233142656478208	0.2026302791258253	0.5089015599835255
Pseudomonas.marginalis	1.5905622345090364	0.2072458245894069	0.5089015599835255
Acinetobacter.junii	1.5662172534014758	0.21075721171034895	0.5089015599835255
Bifidobacterium.breve	1.5260595082153259	0.216704807017837	0.5108041879706158
Comamonas.aquatica	1.3782164224317057	0.24040518921447038	0.5534910170286643
Paracoccus.sp.SMMA.5.TC	1.118745235613801	0.2901887976537721	0.6529247947209872
Xanthobacter.autotrophicus	1.0848458403269206	0.2976160321486072	0.6547552707269358
Bradyrhizobium.sp.B097	0.9671262787243222	0.32539792387428773	0.695500716809579
Jouyvirus.ev017	0.9481634785299775	0.3301872089904062	0.695500716809579
Dermacoccus.nishinomiyaensis	0.9169760348659679	0.33827022146022845	0.6966919545431539
Bacteroides.fragilis	0.892401580928663	0.34482733103651053	0.6966919545431539
Segatella.copri	0.8501994414422143	0.3564959228796163	0.7009316055869567
Jouyvirus.ev207	0.8265428788235454	0.36327410034372476	0.7009316055869567
Granulicatella.elegans	0.7916838698853894	0.37359144543905465	0.7009316055869567
Streptococcus.pseudopneumoniae	0.7859470491445677	0.3753284692921217	0.7009316055869567
Streptomyces.sp.ICC4	0.7632083778443643	0.38232633032015817	0.7009316055869567
Enterobacter.hormaechei	0.7023980779911767	0.4019790766329747	0.7076629533535149
Moraxella.lincolnii	0.686251535251472	0.4074423064762662	0.7076629533535149
Bradyrhizobium.septentrionale	0.686251535251472	0.4074423064762662	0.7076629533535149
Prevotella.melaninogenica	0.6184527446775974	0.4316228374223323	0.7228882429682805
Bradyrhizobium.sp.ma5	0.5883500816627816	0.4430578420349909	0.7228882429682805
Bradyrhizobium.sp.B124	0.5638382112245495	0.4527178895356908	0.7228882429682805
Bacteroides.thetaiotaomicron	0.5638382112245495	0.4527178895356908	0.7228882429682805
Corynebacterium.pseudodiphtheriticum	0.5638382112245495	0.4527178895356908	0.7228882429682805
Acinetobacter.baumannii	0.4710060210541087	0.49252471555955346	0.756369278393166
Bifidobacterium.longum	0.4710060210541087	0.49252471555955346	0.756369278393166
Nocardioides.sp.S5	0.462181747696377	0.49660609187430094	0.756369278393166
Gemella.haemolysans	0.43195391768358604	0.511031744865934	0.757252954195165
Flavobacterium.psychrophilum	0.4235051453197798	0.5151932065230928	0.757252954195165
Leptospira.santarosai	0.4068579345881176	0.5235686172839512	0.757252954195165
Dietzia.kunjamensis	0.3986594962202048	0.527782362014812	0.757252954195165
Bradyrhizobium.sp.6(2017)	0.37852847071133056	0.5383918278904112	0.7614398708735816
Streptococcus.mitis	0.3398310071684705	0.5599267840199107	0.7682233994595755
Bacteroides.sp.DH3716P	0.3323418484557692	0.5642833658458029	0.7682233994595755
Streptococcus.sp.SN.1	0.3286285608489834	0.5664677591974647	0.7682233994595755
Salmonella.enterica	0.2822541880964877	0.5952275341403923	0.7963179172959303
Bradyrhizobium.betae	0.2686944299816787	0.6042089071458999	0.7975557574325879
Yersinia.enterocolitica	0.23312614138831123	0.6292154679075131	0.814897683897625
Paracoccus.marcusii	0.22693037498822832	0.6338093096981527	0.814897683897625
Corynebacterium.propinquum	0.20298175604079916	0.6523247473251764	0.8279506408358008
Burkholderia.dolosa	0.16691279945547421	0.6828702024546945	0.8450518755376845
Bradyrhizobium.genosp.L	0.16691279945547421	0.6828702024546945	0.8450518755376845
Escherichia.coli	0.1320120681846788	0.7163549121042633	0.8755448925718773
Vibrio.sp.Scap24	0.10745847541386411	0.7430563877094505	0.8901733906737253
Moraxella.bovis	0.09915573121435273	0.7528451514640683	0.8901733906737253
Bradyrhizobium.sp.Pha.3	0.09713219808025997	0.7552986345110396	0.8901733906737253
Bradyrhizobium.sp.41S5	0.08355157879913122	0.7725408963698861	0.8903683236782337
Klebsiella.variicola	0.07804423088788326	0.7799655141977173	0.8903683236782337
Streptomyces.sp.ICC1	0.07625017058347794	0.7824448905051145	0.8903683236782337
Moraxella.sp.ATCC.23246	0.06264869013608632	0.8023575188538503	0.9026522087105816
Bradyrhizobium.elkanii	0.04474980942455886	0.8324647466096684	0.9260001113972716
Moraxella.sp.K1664	0.039451073176621776	0.8425577058680197	0.9268134764548217
Streptococcus.lactarius	0.029854936664605702	0.8628197900590151	0.9386720792949724
Dolosigranulum.pigrum	0.02255352844895242	0.8806239283234403	0.947627922869789
Streptococcus.parapneumoniae	0.018840240842166622	0.890825478706806	0.9482980902362772
Moraxella.nonliquefaciens	0.00907721499947911	0.9240968605405442	0.9656798296440514
Phocaeicola.dorei	0.008472241175979889	0.9266624627897463	0.9656798296440514
Haemophilus.parainfluenzae	0.003966229248590025	0.949784018161032	0.9794647687285643
Klebsiella.pneumoniae	0.002505947605413894	0.9600750208056963	0.979870382059422
Streptococcus.oralis	0.00044069213873854096	0.9832515039261278	0.9884044438834834
Bradyrhizobium.sp.CCBAU.51753	0.00021121930910794617	0.9884044438834834	0.9884044438834834
