Taxon	H_statistic	p_value	adjusted_p_value
Haemophilus.ducreyi	5.135490082	0.273675745	0.693021877
Neisseria.gonorrhoeae	5.006178817	0.286664097	0.693021877
Bacteroides.sp.DH3716P	4.979050891	0.289453767	0.693021877
Bifidobacterium.longum	4.971008424	0.290285169	0.693021877
Jouyvirus.ev207	4.871237732	0.300766281	0.693021877
Jouyvirus.ev017	4.859484408	0.30202149	0.693021877
Corynebacterium.tuberculostearicum	4.710607206	0.318299873	0.693021877
Bacteroides.fragilis	4.710232033	0.318341789	0.693021877
Streptococcus.lactarius	4.642681406	0.325962748	0.693021877
Flavobacterium.psychrophilum	4.639350714	0.326342328	0.693021877
Klebsiella.variicola	4.62295376	0.328216245	0.693021877
Pseudomonas.marginalis	4.613009881	0.329356932	0.693021877
Chryseobacterium.indologenes	4.500676317	0.342467294	0.705901973
Rothia.mucilaginosa	4.296968288	0.367304883	0.741955864
Bradyrhizobium.sp.6(2017)	4.155397901	0.38538335	0.763210163
Collinsella.aerofaciens	3.797272902	0.434136615	0.841746778
Yersinia.enterocolitica	3.74434765	0.441708706	0.841746778
Malassezia.restricta	3.638006696	0.457206583	0.855145646
Klebsiella.pneumoniae	3.431826276	0.488319726	0.892493121
Veillonella.rogosae	3.389693142	0.494847671	0.892493121
Anaerobutyricum.hallii	3.277079635	0.512571968	0.908241557
Stenotrophomonas.indicatrix	3.215015365	0.522509126	0.909886582
Ruminococcus.torques	2.952494934	0.565806478	0.957217408
Escherichia.coli	2.901231116	0.574487858	0.957217408
Streptococcus.sp.SN.1	2.879896397	0.578121405	0.957217408
Staphylococcus.aureus	2.807970235	0.590457693	0.961874629
Acinetobacter.baumannii	2.646331488	0.61863803	0.966501006
Streptococcus.sp.A12	2.620353724	0.623221817	0.966501006
Xanthomonas.citri	2.558115206	0.634260467	0.966501006
Salmonella.enterica	2.4869487	0.646974346	0.966501006
Bradyrhizobium.sp.B124	2.473175961	0.649445408	0.966501006
Xanthobacter.autotrophicus	2.466114903	0.650713549	0.966501006
Bradyrhizobium.sp.CCBAU.53421	2.308687391	0.679187826	0.990371439
Streptococcus.pseudopneumoniae	2.089658289	0.719272563	0.990371439
Mycobacterium.avium	2.061959275	0.724363906	0.990371439
Bradyrhizobium.genosp.L	2.030510379	0.730147028	0.990371439
Paracoccus.sp.SMMA.5.TC	1.882124904	0.757427866	0.990371439
Streptococcus.parapneumoniae	1.851276536	0.763088864	0.990371439
Corynebacterium.kefirresidentii	1.84533177	0.764179033	0.990371439
Streptococcus.mitis	1.817095493	0.769353186	0.990371439
Bradyrhizobium.sp.CCBAU.51753	1.791564138	0.774025381	0.990371439
Streptococcus.thermophilus	1.668215784	0.796482842	0.990371439
Streptococcus.oralis	1.666599334	0.796775575	0.990371439
Bradyrhizobium.sp.Ash2021	1.634032271	0.80266289	0.990371439
Streptomyces.sp.ICC1	1.597376672	0.809263553	0.990371439
Prevotella.histicola	1.555148085	0.816829819	0.990371439
Bradyrhizobium.sp.WBOS08	1.423026905	0.840183118	0.990371439
Bradyrhizobium.sp.41S5	1.354078465	0.852135817	0.990371439
Bradyrhizobium.quebecense	1.347048211	0.85334406	0.990371439
Streptococcus.salivarius	1.323713176	0.85733959	0.990371439
Cutibacterium.acnes	1.323297018	0.857410635	0.990371439
Pseudomonas.aeruginosa	1.289764696	0.863109695	0.990371439
Bradyrhizobium.betae	1.232594485	0.872703545	0.990371439
Bradyrhizobium.sp.Pha.3	1.072737377	0.89857325	0.992739171
Dermacoccus.nishinomiyaensis	0.992188072	0.910978211	0.992739171
Bradyrhizobium.sp.B097	0.989814317	0.911336519	0.992739171
Gemella.haemolysans	0.867379445	0.929193405	0.992739171
Acinetobacter.junii	0.799145432	0.938562595	0.992739171
Bartonella.krasnovii	0.641289117	0.958366852	0.992739171
Staphylococcus.capitis	0.605796538	0.962417387	0.992739171
Bradyrhizobium.sp.SK17	0.454227031	0.977801261	0.992739171
Bifidobacterium.bifidum	0.447917665	0.978369095	0.992739171
Burkholderia.dolosa	0.374843796	0.984484216	0.992739171
Bradyrhizobium.septentrionale	0.365359718	0.985213482	0.992739171
Bradyrhizobium.sp.ma5	0.251263519	0.992739171	0.992739171
