Variable,Coefficient,P_value,Model_Type,Taxon
C(Symptoms)[T.Mild],-49.18543302618038,0.5996720933784129,MixedLM,Streptococcus.sp.A12
C(Symptoms)[T.Severe],-194.15417002214716,0.25636349008264636,MixedLM,Streptococcus.sp.A12
Severity,76.12058451680952,0.1322397228233903,MixedLM,Streptococcus.sp.A12
Group Var,0.15556679823307618,0.10785663841226904,MixedLM,Streptococcus.sp.A12
Intercept,-92.87976677175011,0.02515060016340918,MixedLM,Bradyrhizobium.septentrionale
C(Timing)[T.Post],90.4581642004864,0.02827216100019904,MixedLM,Bradyrhizobium.septentrionale
C(Timing)[T.Prior],117.16994300191469,0.0029878204025606835,MixedLM,Bradyrhizobium.septentrionale
C(Symptoms)[T.Mild],42.41503117857972,0.6339563400589587,MixedLM,Bradyrhizobium.septentrionale
C(Symptoms)[T.Severe],-10.30835853678071,0.9494587743806293,MixedLM,Bradyrhizobium.septentrionale
Severity,0.39658618144614677,0.9934157053527304,MixedLM,Bradyrhizobium.septentrionale
Group Var,0.09604804796321968,0.2609656131374969,MixedLM,Bradyrhizobium.septentrionale
Intercept,-49.88734458489608,0.29767330637362976,MixedLM,Ruminococcus.torques
C(Timing)[T.Post],93.47923739458436,0.05910204168564467,MixedLM,Ruminococcus.torques
C(Timing)[T.Prior],63.09573896116047,0.1835868653441768,MixedLM,Ruminococcus.torques
C(Symptoms)[T.Mild],-23.53069253322731,0.815582451078977,MixedLM,Ruminococcus.torques
C(Symptoms)[T.Severe],21.25489007685846,0.9081729181998132,MixedLM,Ruminococcus.torques
Severity,8.283900899171812,0.8790441592439472,MixedLM,Ruminococcus.torques
Group Var,0.046968816784052736,0.5356148330397584,MixedLM,Ruminococcus.torques
Intercept,-101.68989954769411,0.04999465173614255,MixedLM,Neisseria.subflava
C(Timing)[T.Post],125.74040729800222,0.005989878662408937,MixedLM,Neisseria.subflava
C(Timing)[T.Prior],36.19396649636663,0.40668647857391227,MixedLM,Neisseria.subflava
C(Symptoms)[T.Mild],-127.53034542604716,0.27475224015470334,MixedLM,Neisseria.subflava
C(Symptoms)[T.Severe],-409.03509796834794,0.05485219537158413,MixedLM,Neisseria.subflava
Severity,130.95713760615283,0.03770545916223784,MixedLM,Neisseria.subflava
Group Var,0.2741485333127309,0.02173281425786092,MixedLM,Neisseria.subflava
Intercept,-115.1934971141215,0.010138968274661974,MixedLM,Segatella.copri
C(Timing)[T.Post],106.60404365855447,0.014748623368717458,MixedLM,Segatella.copri
C(Timing)[T.Prior],99.1436766685156,0.01771076777699031,MixedLM,Segatella.copri
C(Symptoms)[T.Mild],-44.44937107795647,0.6469033602106178,MixedLM,Segatella.copri
C(Symptoms)[T.Severe],4.551577306389665,0.9795024765910136,MixedLM,Segatella.copri
Severity,55.39040885586836,0.2901173418899774,MixedLM,Segatella.copri
Group Var,0.12134309715974459,0.17967717814010709,MixedLM,Segatella.copri
Intercept,-119.69102427247863,0.008457746179824786,MixedLM,Bradyrhizobium.elkanii
C(Timing)[T.Post],103.57072184197631,0.019905025861380005,MixedLM,Bradyrhizobium.elkanii
C(Timing)[T.Prior],135.43098737985514,0.001457756812470255,MixedLM,Bradyrhizobium.elkanii
C(Symptoms)[T.Mild],117.97522464297036,0.23013122038922584,MixedLM,Bradyrhizobium.elkanii
C(Symptoms)[T.Severe],100.84441306169744,0.57420850697634,MixedLM,Bradyrhizobium.elkanii
Severity,-30.778049992783355,0.5617777491773253,MixedLM,Bradyrhizobium.elkanii
Group Var,0.11708746790870042,0.19131000548215404,MixedLM,Bradyrhizobium.elkanii
Intercept,-10.996850022593208,0.8381767732534496,MixedLM,Bifidobacterium.pseudocatenulatum
C(Timing)[T.Post],4.19942641183319,0.9245806880400697,MixedLM,Bifidobacterium.pseudocatenulatum
C(Timing)[T.Prior],-8.995975946762194,0.8312099284602146,MixedLM,Bifidobacterium.pseudocatenulatum
C(Symptoms)[T.Mild],-86.82457770247392,0.4827345700198432,MixedLM,Bifidobacterium.pseudocatenulatum
C(Symptoms)[T.Severe],-37.90252712003827,0.8665746145410159,MixedLM,Bifidobacterium.pseudocatenulatum
Severity,50.19072805720526,0.4522062784441523,MixedLM,Bifidobacterium.pseudocatenulatum
Group Var,0.3967995245512449,0.006166338690937712,MixedLM,Bifidobacterium.pseudocatenulatum
Intercept,-121.3442129708583,0.011350044872855044,MixedLM,Bradyrhizobium.genosp.L
C(Timing)[T.Post],138.81248987205922,0.005580475258119069,MixedLM,Bradyrhizobium.genosp.L
C(Timing)[T.Prior],162.1711473430485,0.0007324957112508952,MixedLM,Bradyrhizobium.genosp.L
C(Symptoms)[T.Mild],64.9675858781555,0.5175268115807536,MixedLM,Bradyrhizobium.genosp.L
C(Symptoms)[T.Severe],56.88243972987247,0.7564080670281672,MixedLM,Bradyrhizobium.genosp.L
Severity,-16.901945751410686,0.7549685795500091,MixedLM,Bradyrhizobium.genosp.L
Group Var,0.03396359976758725,0.643556440749516,MixedLM,Bradyrhizobium.genosp.L
Intercept,-71.59242824527657,0.1738244291390344,MixedLM,Bradyrhizobium.sp.CCBAU.51753
C(Timing)[T.Post],117.1272550570585,0.02346595547611563,MixedLM,Bradyrhizobium.sp.CCBAU.51753
C(Timing)[T.Prior],126.18723427330796,0.010699050844008882,MixedLM,Bradyrhizobium.sp.CCBAU.51753
C(Symptoms)[T.Mild],-149.21617518501995,0.18937374729619072,MixedLM,Bradyrhizobium.sp.CCBAU.51753
C(Symptoms)[T.Severe],-269.908008546605,0.19346260048680142,MixedLM,Bradyrhizobium.sp.CCBAU.51753
Severity,84.33011035170172,0.1691871890132428,MixedLM,Bradyrhizobium.sp.CCBAU.51753
Group Var,0.11261185731765741,0.2057092396837229,MixedLM,Bradyrhizobium.sp.CCBAU.51753
Intercept,-88.11359736458982,0.08037364826328117,MixedLM,Bradyrhizobium.sp.41S5
C(Timing)[T.Post],127.9688534007338,0.005604591082959981,MixedLM,Bradyrhizobium.sp.41S5
C(Timing)[T.Prior],153.30854276121227,0.0005067815558118526,MixedLM,Bradyrhizobium.sp.41S5
C(Symptoms)[T.Mild],-24.715465382110118,0.8252084568400346,MixedLM,Bradyrhizobium.sp.41S5
C(Symptoms)[T.Severe],-54.60276896586831,0.7891791646651509,MixedLM,Bradyrhizobium.sp.41S5
Severity,12.549054669205542,0.8353844130052486,MixedLM,Bradyrhizobium.sp.41S5
Group Var,0.21180240593057278,0.0504964143573909,MixedLM,Bradyrhizobium.sp.41S5
Intercept,-58.639314282643305,0.21428053463670327,MixedLM,Jouyvirus.ev207
C(Timing)[T.Post],105.22681987846543,0.03423680393822299,MixedLM,Jouyvirus.ev207
C(Timing)[T.Prior],81.64428678381024,0.08641892161516937,MixedLM,Jouyvirus.ev207
C(Symptoms)[T.Mild],-160.72399783990878,0.10294945276494821,MixedLM,Jouyvirus.ev207
C(Symptoms)[T.Severe],-239.05421909435802,0.18425960227441707,MixedLM,Jouyvirus.ev207
Severity,91.89320142629252,0.08401012648821927,MixedLM,Jouyvirus.ev207
Group Var,0.026599400831011207,0.7270218161169529,MixedLM,Jouyvirus.ev207
