Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/612/865/GCF_016612865.1_genomic.fna.gz	91.23	0.332	90.47-92.00	0.332	0.23-0.46	1	1.185	287/17478	87.59	NZ_JAENZZ010000001.1 Blastococcus sp. TML/M2B tmlm2b000001, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/466/625/GCF_030466625.1_genomic.fna.gz	91.23	0.144	89.66-93.24	0.144	0.07-0.26	1	1.183	126/16172	85.50	NZ_JADEVT010000001.1 Nocardioides sp. ChNu-153 Scaffold1, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/409/425/GCF_013409425.1_genomic.fna.gz	91.14	0.173	89.96-92.87	0.173	0.09-0.29	1	1.094	139/15520	85.89	NZ_JACCAC010000001.1 Nocardioides perillae strain DSM 24552 Ga0104605_01, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/319/105/GCF_003319105.1_genomic.fna.gz	91.12	0.226	90.07-92.09	0.226	0.15-0.34	1	1.149	202/17869	86.54	NZ_QOHH01000037.1 Blastococcus sp. TF02-9 NODE_102_length_510_cov_2811.754569, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCA/900/102/115/GCA_900102115.1_genomic.fna.gz	91.04	0.287	90.05-92.23	0.287	0.18-0.41	1	1.192	239/17595	87.05	FNAW01000030.1 Blastococcus sp. DSM 44205 genome assembly, contig: Ga0056091_scaffold00030.30, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/947/500/705/GCF_947500705.1_genomic.fna.gz	91.02	0.133	89.28-92.94	0.133	0.05-0.24	1	1.105	114/16865	85.11	NZ_CANMSY010000001.1 Uncultured Brachybacterium sp. isolate 2B1-2-63-3Z.fasta NODE_1, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/087/075/GCF_002087075.1_genomic.fna.gz	90.78	0.161	88.79-92.50	0.161	0.08-0.32	1	1.103	68/9171	85.37	NZ_MWSM01000001.1 Streptococcus pseudopneumoniae ATCC BAA-960 = CCUG 49455 CCUG_49455T_0000001, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/137/245/GCF_004137245.1_genomic.fna.gz	90.58	0.112	88.63-91.93	0.112	0.07-0.21	1	1.124	97/19579	84.26	NZ_SDWS01000010.1 Nocardioides glacieisoli strain HLT3-15 NODE_10_length_183764_cov_113.920566, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/137/345/GCF_004137345.1_genomic.fna.gz	90.44	0.088	87.67-91.19	0.088	0.08-0.20	1	1.267	75/20011	83.51	NZ_SDWV01000010.1 Nocardioides zhouii strain HLT2-9 NODE_10_length_188879_cov_107.657641, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/102/425/GCF_900102425.1_genomic.fna.gz	90.36	0.306	89.44-91.52	0.306	0.19-0.43	1	1.224	205/18029	86.55	NZ_FNBT01000018.1 Blastococcus aurantiacus strain DSM 44268, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/428/125/GCF_001428125.1_genomic.fna.gz	90.32	0.143	88.11-91.75	0.143	0.07-0.25	1	1.160	94/16562	84.63	NZ_LMSM01000001.1 Nocardioides sp. Soil774 contig_1, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/017/086/465/GCF_017086465.1_genomic.fna.gz	90.29	0.111	87.97-91.54	0.111	0.07-0.22	1	1.103	78/17570	83.97	NZ_CP070961.1 Nocardioides sp. zg-1228 chromosome, complete genome
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/582/785/GCF_000582785.1_genomic.fna.gz	90.11	0.352	89.25-91.37	0.352	0.22-0.50	1	1.281	196/16685	86.64	NZ_HG931173.1 Candidatus Blastococcus massiliensis AP3, whole genome shotgun sequence
trimmed_read1_3001090070-DNA.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/591/405/GCF_001591405.1_genomic.fna.gz	90.01	0.175	88.17-92.19	0.175	0.08-0.33	1	1.176	91/14820	84.85	NZ_BCUV01000001.1 Janibacter terrae NBRC 107853, whole genome shotgun sequence
