,Taxon,P-value,Test,Mean in Post,Mean in Acute,Mean in Prior,Max Log2 Fold Change,Max Fold Change Groups,Adjusted P-value
1,Bacteria: Haemophilus influenzae,0.24815323061572034,Kruskal-Wallis,8.148363044964658,13.536350878774414,7.173229882648477,0.9161431539441031,Acute vs Prior,0.783986261094739
4,Bacteria: Dolosigranulum pigrum,0.24980647592983796,Kruskal-Wallis,8.056305918397637,12.231075023694943,14.25738660833292,0.8235184075656776,Post vs Prior,0.783986261094739
60,Bacteria: Pseudomonas aeruginosa,0.5324366787546566,Kruskal-Wallis,0.10867144627412305,0.27994209335238385,0.0,14.772892347447511,Acute vs Prior,0.783986261094739
57,Bacteria: Micrococcus luteus,0.6636993824424287,Kruskal-Wallis,0.0,0.10475737808808908,0.03543227086435561,13.35490194759881,Post vs Acute,0.783986261094739
48,Bacteria: Rothia sp,0.38528218787509166,Kruskal-Wallis,0.0,0.25312049029644484,0.11973570998614941,14.627593674236754,Post vs Acute,0.783986261094739
50,Bacteria: Paracoccus everestensis,0.4366137783488867,Kruskal-Wallis,0.35439999999999994,0.0,0.19442271645318715,15.113131690967414,Post vs Acute,0.783986261094739
53,Bacteria: Methylorubrum suomiense,0.6649278426878025,Kruskal-Wallis,0.0,0.10172392153662288,0.16129501942787214,13.977503711973748,Post vs Prior,0.783986261094739
37,Bacteria: Streptococcus oralis,0.6090310268614976,Kruskal-Wallis,0.2283163573486154,1.2656166666666664,0.3270964838940743,2.470682587806972,Post vs Acute,0.783986261094739
34,Bacteria: Prevotella melaninogenica,0.6636993824424287,Kruskal-Wallis,0.0,0.12495797809802323,0.002686749674701482,13.609270844376306,Post vs Acute,0.783986261094739
36,Bacteria: Rothia mucilaginosa,0.2329442271074686,Kruskal-Wallis,0.0,0.38805025402494203,0.12294455466998759,15.243993056276205,Post vs Acute,0.783986261094739
46,Bacteria: Lawsonella clevelandensis,0.2597453813798267,Kruskal-Wallis,0.3656547851810109,0.13825438956063893,0.0,15.158234076256191,Post vs Prior,0.783986261094739
42,Bacteria: Streptococcus pasteurianus,0.5312397696768862,Kruskal-Wallis,0.17938709677419354,0.07502155564383489,0.0,14.130868922519193,Post vs Prior,0.783986261094739
43,Bacteria: Corynebacterium tuberculostearicum,0.6649278426878025,Kruskal-Wallis,0.0,0.07945964276257945,0.10729329139624974,13.389406709215361,Post vs Prior,0.783986261094739
44,Bacteria: Staphylococcus caprae,0.6649278426878025,Kruskal-Wallis,0.0,0.07032076301257033,0.13284825042903925,13.697600200779991,Post vs Prior,0.783986261094739
47,Bacteria: Haemophilus sp,0.6649278426878025,Kruskal-Wallis,0.0,0.10858820051788577,0.21196066224711127,14.37157698226486,Post vs Prior,0.783986261094739
45,Bacteria: Staphylococcus epidermidis,0.2583393168087685,Kruskal-Wallis,0.0,0.04094301461254094,0.3276236428950673,14.999795886546135,Post vs Prior,0.783986261094739
39,Bacteria: Streptococcus salivarius,0.6133625792451696,Kruskal-Wallis,0.1413742853647641,0.0893124820648586,0.04937379061675518,1.517512291141898,Post vs Prior,0.783986261094739
41,Bacteria: Veillonella sp,0.4680606352225749,Kruskal-Wallis,0.0,0.007637354198450425,0.10516983039052966,13.360570455040886,Post vs Prior,0.783986261094739
61,Bacteria: Streptococcus lactarius,0.6649278426878025,Kruskal-Wallis,0.0,0.3195518237834338,0.32109397590361444,14.970752908147594,Post vs Prior,0.783986261094739
59,Bacteria: Enterobacter hormaechei,0.6636993824424287,Kruskal-Wallis,0.0,0.03872158204708122,0.001564432491016907,11.919294716182328,Post vs Acute,0.783986261094739
58,Bacteria: Streptococcus gwangjuense,0.19751669370249825,Kruskal-Wallis,0.0,0.0,0.2822187136365851,14.784577153146454,Post vs Prior,0.783986261094739
56,Bacteria: Stenotrophomonas sp,0.5891676544024075,Kruskal-Wallis,0.01711042300024503,0.0,0.24350216613638812,14.571706232293073,Acute vs Prior,0.783986261094739
55,Bacteria: Serratia marcescens,0.5891676544024075,Kruskal-Wallis,0.032629856947726056,0.0,0.8642820075680658,16.399231199688636,Acute vs Prior,0.783986261094739
54,Bacteria: Brucella anthropi,0.5891676544024075,Kruskal-Wallis,0.024354121630497428,0.0,0.0689131840988641,12.750773637088708,Acute vs Prior,0.783986261094739
52,Bacteria: Klebsiella pneumoniae,0.74814396342559,Kruskal-Wallis,0.10367752303236173,0.3059542700537724,0.002925018342880493,6.703849857524705,Acute vs Prior,0.8433622860433924
11,Bacteria: Streptococcus thermophilus,0.7881675162810265,Kruskal-Wallis,0.113734294053325,0.7498083333333333,1.4351643146233508,3.657359895728461,Post vs Prior,0.8573050177091868
0,Bacteria: Corynebacterium pseudodiphtheriticum,0.7744421441606918,Kruskal-Wallis,4.2341001610710745,4.005648338547541,5.845702307732641,0.5453394576081354,Acute vs Prior,0.8573050177091868
25,Bacteria: Moraxella sp,0.956134673942804,Kruskal-Wallis,1.9639824336458367,1.4157142341971327,1.762529492571712,0.47224909822673405,Post vs Acute,0.9921010947341569
6,Bacteria: Moraxella nonliquefaciens,0.9921010947341569,Kruskal-Wallis,19.764198464968562,15.779782588079676,17.261497514888585,0.32481193546910114,Post vs Acute,0.9921010947341569
12,Bacteria: Moraxella lincolnii,0.9686693739574886,Kruskal-Wallis,10.978114044597243,11.679531670867712,11.011143687758253,0.08935211512803157,Post vs Acute,0.9921010947341569
40,Bacteria: Streptococcus sp,0.9803559504585301,Kruskal-Wallis,2.1217250406412598,0.5650798339633563,0.6789426826652807,1.9086923654541073,Post vs Acute,0.9921010947341569
35,Bacteria: Prevotella sp,0.9773516637214963,Kruskal-Wallis,0.0449129481387546,0.20320181827952966,0.012966278026518991,3.969035767064878,Acute vs Prior,0.9921010947341569
